,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
34,George Kittle,SFO,TE,30,5,5,0,0,0,0,0,0,0,,0,23,17,215,12.65,3,0,0,3,,,40,56.5,59.5,48.0,15,5,34,KittGe00
35,George Pickens,PIT,WR,22,5,5,0,0,0,0,0,1,16,16.00,0,40,22,393,17.86,2,1,0,2,,,53,74.9,77.9,63.9,13,13,35,PickGe00
36,Mike Evans,TAM,WR,30,4,4,0,0,0,0,0,0,0,,0,31,20,337,16.85,3,0,0,3,,,52,71.7,74.7,61.7,12,14,36,EvanMi00
37,James Conner,ARI,RB,28,5,5,0,0,0,0,0,68,364,5.35,2,10,8,30,3.75,0,0,0,2,,,51,59.4,62.4,55.4,12,16,37,ConnJa00
38,Marquise Brown,ARI,WR,26,5,5,0,0,0,0,0,1,29,29.00,0,42,25,300,12.00,3,0,0,3,,,51,75.9,78.9,63.4,11,15,38,BrowMa04
39,Breece Hall,NYJ,RB,22,5,5,0,0,0,0,0,54,387,7.17,1,13,8,59,7.38,0,2,0,1,,,51,58.6,61.6,54.6,11,17,39,HallBr03
40,Deebo Samuel,SFO,WR,27,5,5,0,0,0,0,0,16,84,5.25,1,31,20,302,15.10,1,1,0,2,,,51,70.6,73.6,60.6,11,16,40,SamuDe00
41,T.J. Hockenson,MIN,TE,26,5,3,0,0,0,0,0,0,0,,0,39,30,254,8.47,2,1,1,2,,,35,65.4,69.4,50.4,11,6,41,HockTJ00
42,Brandon Aiyuk,SFO,WR,25,4,4,0,0,0,0,0,0,0,,0,27,21,378,18.00,2,0,0,2,,,50,70.8,73.8,60.3,10,17,42,AiyuBr00
43,James Cook,BUF,RB,24,5,5,0,0,0,0,0,61,292,4.79,1,18,14,140,10.00,0,0,0,1,,,49,63.2,69.2,56.2,10,18,43,CookJa01
44,Justin Fields,CHI,QB,24,5,5,94,152,1143,11,5,39,191,4.90,1,0,0,0,,0,4,2,1,,,101,100.8,113.8,105.8,10,3,44,FielJu00
45,Kirk Cousins,MIN,QB,35,5,5,137,204,1498,13,4,8,22,2.75,0,0,0,0,,0,5,3,0,,,100,100.1,110.1,104.1,9,4,45,CousKi00
46,Brock Purdy,SFO,QB,24,5,5,98,136,1271,9,0,12,24,2.00,2,0,0,0,,0,4,1,2,,,99,99.2,103.2,99.2,8,5,46,PurdBr00
47,Patrick Mahomes,KAN,QB,28,5,5,123,184,1287,10,4,23,154,6.70,0,0,0,0,,0,1,0,0,,,99,98.9,108.9,102.9,8,6,47,MahoPa00
48,Tua Tagovailoa,MIA,QB,25,5,5,119,166,1614,11,5,13,21,1.62,0,0,0,0,,0,5,1,0,,,99,98.7,107.7,103.7,8,7,48,TagoTu00
49,Josh Reynolds,DET,WR,28,5,4,0,0,0,0,0,0,0,,0,24,16,291,18.19,3,0,0,3,,,47,63.1,66.1,55.1,8,18,49,ReynJo00
50,Joe Mixon,CIN,RB,27,5,5,0,0,0,0,0,84,328,3.90,1,17,13,80,6.15,0,0,0,1,,,47,59.8,62.8,53.3,8,19,50,MixoJo00
51,Calvin Ridley,JAX,WR,29,5,5,0,0,0,0,0,2,14,7.00,0,36,22,333,15.14,2,1,0,2,,,47,68.7,71.7,57.7,7,19,51,RidlCa00
52,Jakobi Meyers,LVR,WR,27,4,4,0,0,0,0,0,1,0,0.00,0,36,25,274,10.96,3,0,0,3,,,45,70.4,73.4,57.9,6,20,52,MeyeJa01
53,Alexander Mattison,MIN,RB,25,5,5,0,0,0,0,0,64,276,4.31,0,21,14,76,5.43,2,1,1,2,,,45,59.2,63.2,52.2,6,20,53,MattAl01
54,Tank Dell,HOU,WR,24,5,3,0,0,0,0,0,4,9,2.25,0,28,19,324,17.05,2,1,0,2,,,45,64.3,67.3,54.8,6,21,54,DellNa00
55,Russell Wilson,DEN,QB,35,5,5,109,163,1210,11,2,18,119,6.61,0,0,0,0,,0,3,2,0,,,96,96.3,106.3,98.3,6,8,55,WilsRu00
56,Hunter Henry,NWE,TE,29,5,4,0,0,0,0,0,0,0,,0,25,17,176,10.35,2,0,0,2,,,30,46.6,49.6,38.1,5,7,56,HenrHu00
57,Jerome Ford,CLE,RB,24,4,2,0,0,0,0,0,50,186,3.72,1,13,10,77,7.70,2,1,1,3,1,,44,54.3,58.3,49.3,5,21,57,FordJe00
58,Justin Herbert,LAC,QB,25,4,4,103,145,1106,7,1,20,55,2.75,3,0,0,0,,0,1,0,3,,1,96,95.7,99.7,96.7,5,9,58,HerbJu00
59,Lamar Jackson,BAL,QB,26,5,5,100,143,1030,4,2,47,265,5.64,4,0,0,0,,0,7,4,4,,,96,95.7,107.7,97.7,5,10,59,JackLa00
60,CeeDee Lamb,DAL,WR,24,5,5,0,0,0,0,0,3,21,7.00,0,35,27,358,13.26,1,1,0,1,,,44,70.9,73.9,57.4,5,22,60,LambCe00
61,Amon-Ra St. Brown,DET,WR,24,4,4,0,0,0,0,0,1,4,4.00,0,35,26,331,12.73,2,1,1,2,,,44,69.5,73.5,56.5,4,23,61,StxxAm00
62,Logan Thomas,WAS,TE,32,4,4,0,0,0,0,0,1,2,2.00,0,25,18,183,10.17,2,1,1,2,,,29,46.5,50.5,37.5,4,8,62,ThomLo00
63,Jordan Addison,MIN,WR,21,5,2,0,0,0,0,0,0,0,,0,29,19,249,13.11,3,0,0,3,,,43,61.9,64.9,52.4,4,24,63,AddiJo00
64,Tutu Atwell,LAR,WR,24,5,5,0,0,0,0,0,2,27,13.50,0,40,24,279,11.63,2,0,0,2,,,43,66.6,69.6,54.6,4,25,64,AtweTu00
65,Jared Goff,DET,QB,29,5,5,111,159,1265,9,3,14,12,0.86,2,0,0,0,,0,0,0,2,,,94,93.8,99.8,96.8,3,11,65,GoffJa00
