,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
150,KaVontae Turpin,DAL,WR,27,5,0,0,0,0,0,0,6,66,11.00,1,6,5,51,10.20,1,1,0,2,,,24,28.7,28.7,26.2,,60,,TurpKa00
151,Nelson Agholor,BAL,WR,30,5,2,0,0,0,0,0,0,0,,0,17,14,170,12.14,1,1,0,1,,,23,37.0,40.0,30.0,,61,,AghoNe00
152,Braxton Berrios,MIA,WR,28,5,0,0,0,0,0,0,1,11,11.00,0,18,15,159,10.60,1,0,0,1,,,23,38.0,41.0,30.5,,62,,BerrBr00
153,Jonnu Smith,ATL,TE,28,5,1,0,0,0,0,0,0,0,,0,27,21,246,11.71,0,1,1,0,,,23,43.6,47.6,33.1,,14,,SmitJo01
154,Austin Ekeler,LAC,RB,28,1,1,0,0,0,0,0,16,117,7.31,1,5,4,47,11.75,0,0,0,1,,,22,26.4,29.4,24.4,,43,,EkelAu00
155,Tyler Higbee,LAR,TE,30,5,5,0,0,0,0,0,0,0,,0,29,18,216,12.00,0,0,0,0,,,22,39.6,42.6,30.6,,15,,HigbTy00
156,Robert Woods,HOU,WR,31,5,5,0,0,0,0,0,0,0,,0,40,21,221,10.52,0,0,0,0,,,22,43.1,46.1,32.6,,63,,WoodRo02
157,Calvin Austin,PIT,WR,24,5,1,0,0,0,0,0,2,3,1.50,0,22,12,143,11.92,1,0,0,1,,,21,32.6,35.6,26.6,,65,,AustCa00
158,Rico Dowdle,DAL,RB,25,5,0,0,0,0,0,0,25,95,3.80,0,6,5,50,10.00,1,0,0,1,,,21,25.5,25.5,23.0,,47,,DowdRi01
159,Zach Ertz,ARI,TE,33,5,5,0,0,0,0,0,0,0,,0,34,22,146,6.64,1,0,0,1,,,21,42.6,45.6,31.6,,17,,ErtzZa00
160,Chuba Hubbard,CAR,RB,24,5,0,0,0,0,0,0,35,154,4.40,0,14,12,57,4.75,0,0,0,0,,,21,33.1,36.1,27.1,,45,,HubbCh01
161,Jerry Jeudy,DEN,WR,24,4,3,0,0,0,0,0,0,0,,0,24,17,208,12.24,0,0,0,0,,,21,37.8,40.8,29.3,,64,,JeudJe00
162,Tony Jones,NOR,RB,26,4,1,0,0,0,0,0,21,70,3.33,2,6,4,21,5.25,0,0,0,2,,,21,25.1,25.1,23.1,,46,,JoneTo04
163,Jerick McKinnon,KAN,RB,31,5,0,0,0,0,0,0,7,21,3.00,0,12,9,71,7.89,2,0,0,2,,,21,30.2,30.2,25.7,,44,,McKiJe00
164,Skyy Moore,KAN,WR,23,5,4,0,0,0,0,0,3,23,7.67,0,17,9,123,13.67,1,0,0,1,,,21,29.6,32.6,25.1,,66,,MoorSk01
165,Donald Parham,LAC,TE,26,4,3,0,0,0,0,0,0,0,,0,8,6,33,5.50,3,0,0,3,,,21,27.3,27.3,24.3,,16,,ParhDo00
166,Tyler Conklin,NYJ,TE,28,5,5,0,0,0,0,0,0,0,,0,23,17,203,11.94,0,0,0,0,,,20,37.3,40.3,28.8,,19,,ConkTy00
167,Jahan Dotson,WAS,WR,23,5,5,0,0,0,0,0,0,0,,0,30,17,140,8.24,1,0,0,1,,,20,37.0,40.0,28.5,,67,,DotsJa00
168,Zay Jones,JAX,WR,28,3,2,0,0,0,0,0,0,0,,0,18,8,78,9.75,2,0,0,2,,,20,27.8,27.8,23.8,,70,,JoneZa00
169,Josh Palmer,LAC,WR,24,4,1,0,0,0,0,0,0,0,,0,21,11,160,14.55,1,1,1,1,,,20,31.0,35.0,25.5,,68,,PalmJo00
170,Kyle Pitts,ATL,TE,23,5,4,0,0,0,0,0,1,-4,-4.00,0,32,18,208,11.56,0,0,0,0,,,20,38.4,41.4,29.4,,18,,PittKy00
171,Justin Watson,KAN,WR,27,5,2,0,0,0,0,0,0,0,,0,16,10,219,21.90,0,1,1,0,,,20,29.9,33.9,24.9,,69,,WatsJu01
172,Matt Breida,NYG,RB,28,5,3,0,0,0,0,0,30,82,2.73,1,10,10,49,4.90,0,1,0,1,,,19,29.1,29.1,24.1,,48,,BreiMa00
173,Nick Chubb,CLE,RB,28,2,2,0,0,0,0,0,28,170,6.07,0,4,4,21,5.25,0,0,0,0,,,19,23.1,26.1,21.1,,49,,ChubNi00
174,Kenneth Gainwell,PHI,RB,24,4,1,0,0,0,0,0,39,128,3.28,0,10,8,39,4.88,0,1,0,0,1,,19,26.7,29.7,22.7,,51,,GainKe00
175,Noah Gray,KAN,TE,24,5,3,0,0,0,0,0,0,0,,0,15,10,133,13.30,1,0,0,1,,,19,29.3,32.3,24.3,,20,,GrayNo00
176,Javonte Williams,DEN,RB,23,4,4,0,0,0,0,0,38,138,3.63,0,15,11,51,4.64,0,0,0,0,,,19,29.9,32.9,24.4,,50,,WillJa10
177,Clyde Edwards-Helaire,KAN,RB,24,5,1,0,0,0,0,0,28,93,3.32,1,5,5,27,5.40,0,0,0,1,,,18,23.0,23.0,20.5,,53,,EdwaCl00
178,Ezekiel Elliott,NWE,RB,28,5,0,0,0,0,0,0,42,159,3.79,0,15,12,44,3.67,0,1,1,0,,,18,30.3,34.3,24.3,,52,,ElliEz00
179,Michael Gallup,DAL,WR,27,5,5,0,0,0,0,0,0,0,,0,22,15,180,12.00,0,0,0,0,,,18,33.0,36.0,25.5,,71,,GallMi00
180,Tyler Boyd,CIN,WR,29,5,5,0,0,0,0,0,0,0,,0,34,23,166,7.22,0,0,0,0,,,17,39.6,42.6,28.1,,74,,BoydTy00
181,Pat Freiermuth,PIT,TE,25,4,4,0,0,0,0,0,0,0,,0,13,8,53,6.63,2,0,0,2,,,17,25.3,25.3,21.3,,21,,FreiPa00
182,Damien Harris,BUF,RB,26,5,0,0,0,0,0,0,22,93,4.23,1,2,2,16,8.00,0,0,0,1,,,17,18.9,18.9,17.9,,54,,HarrDa06
183,Darius Slayton,NYG,WR,26,5,3,0,0,0,0,0,0,0,,0,24,13,167,12.85,0,0,0,0,,,17,29.7,32.7,23.2,,73,,SlayDa01
184,Christian Watson,GNB,WR,24,2,2,0,0,0,0,0,1,-5,-5.00,0,11,5,116,23.20,1,0,0,1,,,17,22.1,25.1,19.6,,72,,WatsCh00
185,Cam Akers,2TM,RB,24,3,1,0,0,0,0,0,32,84,2.63,1,4,4,14,3.50,0,0,0,1,,,16,19.8,19.8,17.8,,57,,AkerCa00
186,Noah Fant,SEA,TE,26,4,4,0,0,0,0,0,0,0,,0,11,10,160,16.00,0,0,0,0,,,16,26.0,29.0,21.0,,23,,FantNo00
187,Kylen Granson,IND,TE,25,5,1,0,0,0,0,0,0,0,,0,22,13,103,7.92,1,0,0,1,,,16,29.3,32.3,22.8,,22,,GranKy00
188,Hayden Hurst,CAR,TE,30,5,4,0,0,0,0,0,0,0,,0,19,13,100,7.69,1,0,0,1,,,16,29.0,32.0,22.5,,24,,HursHa00
189,Jordan Mason,SFO,RB,24,5,0,0,0,0,0,0,16,90,5.63,1,2,1,13,13.00,0,0,0,1,,,16,17.3,17.3,16.8,,55,,MasoJo00
190,Darnell Mooney,CHI,WR,26,5,5,0,0,0,0,0,0,0,,0,16,8,104,13.00,1,0,0,1,,,16,24.4,27.4,20.4,,75,,MoonDa00
191,Luke Musgrave,GNB,TE,23,5,4,0,0,0,0,0,0,0,,0,23,18,159,8.83,0,0,0,0,,,16,33.9,36.9,24.9,,25,,MusgLu00
192,Andrew Ogletree,IND,TE,25,4,3,0,0,0,0,0,0,0,,0,10,7,95,13.57,1,0,0,1,,,16,22.5,22.5,19.0,,26,,OgleAn00
193,Trey Palmer,TAM,WR,22,4,0,0,0,0,0,0,0,0,,0,9,6,42,7.00,2,0,0,2,,,16,22.2,22.2,19.2,,76,,PalmTr00
194,Devin Singletary,HOU,RB,26,5,0,1,1,6,1,0,27,95,3.52,0,5,4,25,6.25,0,0,0,0,,,16,20.2,20.2,18.2,,56,,SingDe00
195,Dontayvion Wicks,GNB,WR,22,5,2,0,0,0,0,0,0,0,,0,14,7,95,13.57,1,0,0,1,,,16,22.5,22.5,19.0,,77,,WickDo00
196,River Cracraft,MIA,WR,29,3,1,0,0,0,0,0,0,0,,0,8,6,87,14.50,1,0,0,1,,,15,20.7,20.7,17.7,,78,,CracRi00
197,Emari Demercado,ARI,RB,24,5,0,0,0,0,0,0,14,48,3.43,1,9,6,40,6.67,0,0,0,1,,,15,20.8,20.8,17.8,,58,,DemeEm00
198,Antonio Gibson,WAS,RB,25,5,0,0,0,0,0,0,13,54,4.15,0,16,12,132,11.00,0,3,2,0,,,15,26.6,31.6,20.6,,59,,GibsAn00
199,Isaiah Hodgins,NYG,WR,25,5,5,0,0,0,0,0,0,0,,0,14,10,107,10.70,1,1,1,1,,,15,24.7,28.7,19.7,,79,,HodgIs00
200,Cade Otton,TAM,TE,24,4,4,0,0,0,0,0,0,0,,0,15,12,89,7.42,1,0,0,1,,,15,26.9,26.9,20.9,,27,,OttoCa00
201,Tank Bigsby,JAX,RB,22,5,0,0,0,0,0,0,15,41,2.73,2,2,0,0,,0,1,1,2,,,14,14.1,15.1,14.1,,60,,BigsTa00
202,Taysom Hill,NOR,TE,33,5,2,2,2,21,0,0,23,120,5.22,0,6,4,16,4.00,0,0,0,0,,,14,18.4,21.4,16.4,,28,,HillTa00
203,Mack Hollins,ATL,WR,30,5,2,0,0,0,0,0,0,0,,0,19,9,143,15.89,0,0,0,0,,,14,23.3,26.3,18.8,,80,,HollMa00
204,Dawson Knox,BUF,TE,27,5,5,0,0,0,0,0,0,0,,0,19,11,75,6.82,1,0,0,1,,,14,24.5,24.5,19.0,,29,,KnoxDa00
205,Allen Robinson,PIT,WR,30,5,5,0,0,0,0,0,0,0,,0,26,17,137,8.06,0,0,0,0,,,14,30.7,33.7,22.2,,82,,RobiAl02
206,Pierre Strong,CLE,RB,25,4,0,0,0,0,0,0,13,77,5.92,1,1,0,0,,0,0,0,1,,,14,13.7,13.7,13.7,,61,,StroPi00
207,Deven Thompkins,TAM,WR,24,4,1,0,0,0,0,0,2,22,11.00,0,11,8,61,7.63,1,1,0,1,,,14,22.3,22.3,18.3,,81,,ThomDe07
208,Mo Alie-Cox,IND,TE,30,5,3,0,0,0,0,0,0,0,,0,5,3,67,22.33,1,0,0,1,,,13,15.7,15.7,14.2,,31,,AlieMo00
209,Robbie Chosen,MIA,WR,30,3,0,0,0,0,0,0,0,0,,0,2,1,68,68.00,1,0,0,1,,,13,13.8,13.8,13.3,,87,,AndeRo04
210,Pharaoh Brown,NWE,TE,29,5,3,0,0,0,0,0,0,0,,0,2,2,71,35.50,1,0,0,1,,,13,15.1,15.1,14.1,,30,,BrowPh01
211,Zach Charbonnet,SEA,RB,22,4,0,0,0,0,0,0,21,104,4.95,0,7,4,22,5.50,0,0,0,0,,,13,16.6,19.6,14.6,,64,,CharZa00
212,Demario Douglas,NWE,WR,23,5,0,0,0,0,0,0,1,5,5.00,0,17,10,143,14.30,0,1,1,0,,,13,22.8,26.8,17.8,,88,,DougDe00
213,Kendre Miller,NOR,RB,21,3,0,0,0,0,0,0,22,74,3.36,0,6,6,58,9.67,0,0,0,0,,,13,19.2,19.2,16.2,,62,,MillKe01
214,Chris Moore,TEN,WR,30,5,1,0,0,0,0,0,0,0,,0,8,4,134,33.50,0,1,0,0,,,13,17.4,20.4,15.4,,83,,MoorCh00
215,Elijah Moore,CLE,WR,23,4,2,0,0,0,0,0,7,3,0.43,0,29,17,148,8.71,0,1,1,0,,,13,30.1,34.1,21.6,,84,,MoorEl00
216,DeVante Parker,NWE,WR,30,4,4,0,0,0,0,0,0,0,,0,19,12,129,10.75,0,0,0,0,,,13,24.9,27.9,18.9,,85,,ParkDe01
217,Craig Reynolds,DET,RB,27,5,0,0,0,0,0,0,14,74,5.29,1,1,1,-2,-2.00,0,0,0,1,,,13,14.2,14.2,13.7,,63,,ReynCr00
218,Olamide Zaccheaus,PHI,WR,26,5,0,0,0,0,0,0,0,0,,0,5,3,69,23.00,1,0,0,1,,,13,15.9,15.9,14.4,,86,,ZaccOl01
219,Dalvin Cook,NYJ,RB,28,5,0,0,0,0,0,0,36,97,2.69,0,8,8,44,5.50,0,1,1,0,,,12,20.1,21.1,16.1,,65,,CookDa01
220,Mike Gesicki,NWE,TE,28,5,4,0,0,0,0,0,0,0,,0,17,12,116,9.67,0,0,0,0,,,12,23.6,26.6,17.6,,36,,GesiMi00
221,Dalton Kincaid,BUF,TE,24,5,3,0,0,0,0,0,0,0,,0,19,17,118,6.94,0,0,0,0,,,12,28.8,31.8,20.3,,34,,KincDa00
222,Cooper Kupp,LAR,WR,30,1,1,0,0,0,0,0,0,0,,0,12,8,118,14.75,0,0,0,0,,,12,19.8,22.8,15.8,,90,,KuppCo00
223,David Njoku,CLE,TE,27,4,4,0,0,0,0,0,0,0,,0,18,16,138,8.63,0,1,1,0,,,12,27.8,31.8,19.8,,35,,NjokDa00
224,Alec Pierce,IND,WR,23,5,5,0,0,0,0,0,0,0,,0,16,8,124,15.50,0,0,0,0,,,12,20.4,23.4,16.4,,89,,PierAl00
225,Durham Smythe,MIA,TE,28,5,4,0,0,0,0,0,0,0,,0,15,11,123,11.18,0,0,0,0,,,12,23.3,26.3,17.8,,32,,SmytDu00
226,Adam Trautman,DEN,TE,26,5,3,0,0,0,0,0,0,0,,0,14,9,60,6.67,1,0,0,1,,,12,21.0,21.0,16.5,,33,,TrauAd00
227,Marquez Valdes-Scantling,KAN,WR,29,5,5,0,0,0,0,0,0,0,,0,11,7,116,16.57,0,0,0,0,,,12,18.6,21.6,15.1,,91,,ValdMa00
228,Treylon Burks,TEN,WR,23,3,3,0,0,0,0,0,1,9,9.00,0,13,6,99,16.50,0,0,0,0,,,11,16.8,16.8,13.8,,96,,BurkTr00
229,Chase Claypool,CHI,WR,25,3,2,0,0,0,0,0,0,0,,0,14,4,51,12.75,1,0,0,1,,,11,15.1,15.1,13.1,,95,,ClayCh01
230,Gerald Everett,LAC,TE,29,4,3,0,0,0,0,0,1,2,2.00,0,14,13,107,8.23,0,1,0,0,,,11,23.9,26.9,17.4,,37,,EverGe00
231,Van Jefferson,LAR,WR,27,5,4,0,0,0,0,0,1,4,4.00,0,15,8,108,13.50,0,0,0,0,,,11,19.2,22.2,15.2,,93,,JeffVa00
232,Terrace Marshall Jr.,CAR,WR,23,4,2,0,0,0,0,0,0,0,,0,24,16,114,7.13,0,1,0,0,,,11,27.4,30.4,19.4,,92,,MarsTe00
233,Jonathan Mingo,CAR,WR,22,4,4,0,0,0,0,0,0,0,,0,26,13,112,8.62,0,0,0,0,,,11,24.2,27.2,17.7,,94,,MingJo00
234,J.K. Dobbins,BAL,RB,25,1,1,0,0,0,0,0,8,22,2.75,1,3,2,15,7.50,0,0,0,1,,,10,11.7,11.7,10.7,,67,,DobbJK00
235,Melvin Gordon,BAL,RB,30,2,0,0,0,0,0,0,13,53,4.08,0,3,3,46,15.33,0,0,0,0,,,10,12.9,12.9,11.4,,66,,GordMe00
236,Deonte Harty,BUF,WR,26,5,0,0,0,0,0,0,3,2,0.67,0,14,11,100,9.09,0,1,0,0,,,10,21.2,24.2,15.7,,97,,HarrDe07
237,Jalin Hyatt,NYG,WR,22,5,0,0,0,0,0,0,0,0,,0,5,4,99,24.75,0,0,0,0,,,10,13.9,13.9,11.9,,99,,HyatJa00
238,Jauan Jennings,SFO,WR,26,4,0,0,0,0,0,0,0,0,,0,8,5,101,20.20,0,0,0,0,,,10,15.1,18.1,12.6,,98,,JennJa00
239,Brevin Jordan,HOU,TE,23,5,0,0,0,0,0,0,0,0,,0,4,4,40,10.00,1,0,0,1,,,10,14.0,14.0,12.0,,40,,JordBr00
240,Kyle Juszczyk,SFO,RB,32,5,5,0,0,0,0,0,3,6,2.00,0,5,5,30,6.00,1,0,0,1,,,10,14.6,14.6,12.1,,68,,JuszKy00
241,Aidan O'Connell,LVR,QB,25,1,1,24,39,238,0,1,3,3,1.00,1,0,0,0,,0,3,2,1,,,10,9.8,12.8,10.8,,35,,OConAi00
242,Chigoziem Okonkwo,TEN,TE,24,5,4,0,0,0,0,0,0,0,,0,22,15,104,6.93,0,0,0,0,,,10,25.4,28.4,17.9,,38,,OkonCh00
243,Josh Oliver,MIN,TE,26,5,4,0,0,0,0,0,0,0,,0,10,8,64,8.00,1,1,1,1,,,10,18.4,19.4,14.4,,39,,OlivJo00
244,Ronnie Bell,SFO,WR,23,5,0,0,0,0,0,0,0,0,,0,4,3,31,10.33,1,0,0,1,,,9,12.1,12.1,10.6,,100,,BellRo01
245,Dyami Brown,WAS,WR,24,5,0,0,0,0,0,0,0,0,,0,10,6,87,14.50,0,0,0,0,,,9,14.7,14.7,11.7,,101,,BrowDy00
246,Parris Campbell,NYG,WR,26,5,3,0,0,0,0,0,0,0,,0,23,16,85,5.31,0,0,0,0,,,9,24.5,24.5,16.5,,107,,CampPa00
247,Derius Davis,LAC,WR,23,4,0,0,0,0,0,0,4,61,15.25,0,4,4,24,6.00,0,1,0,0,,,9,12.5,12.5,10.5,,108,,DaviDe02
248,Lil'Jordan Humphrey,DEN,WR,25,5,4,0,0,0,0,0,0,0,,0,5,4,26,6.50,1,0,0,1,,,9,12.6,12.6,10.6,,104,,HumpLi01
249,Hunter Luepke,DAL,RB,23,5,0,0,0,0,0,0,3,13,4.33,1,1,1,12,12.00,0,0,0,1,,,9,9.5,9.5,9.0,,69,,LuepHu00
250,Foster Moreau,NOR,TE,26,3,3,0,0,0,0,0,0,0,,0,3,3,26,8.67,1,0,0,1,,,9,11.6,11.6,10.1,,43,,MoreFo00
251,Colby Parkinson,SEA,TE,24,4,1,0,0,0,0,0,0,0,,0,10,6,87,14.50,0,0,0,0,,,9,14.7,14.7,11.7,,42,,ParkCo02
252,Wan'Dale Robinson,NYG,WR,22,3,1,0,0,0,0,0,2,8,4.00,0,17,14,79,5.64,0,0,0,0,,,9,22.7,22.7,15.7,,102,,RobiWa01
253,Khalil Shakir,BUF,WR,23,5,2,0,0,0,0,0,0,0,,0,4,3,27,9.00,1,0,0,1,,,9,11.7,11.7,10.2,,103,,ShakKh00
254,JuJu Smith-Schuster,NWE,WR,27,5,3,0,0,0,0,0,0,0,,0,25,14,86,6.14,0,0,0,0,,,9,22.6,22.6,15.6,,105,,SmitJu00
255,Kadarius Toney,KAN,WR,24,5,2,0,0,0,0,0,3,3,1.00,0,19,14,83,5.93,0,1,0,0,,,9,22.6,22.6,15.6,,106,,ToneKa00
256,Josh Whyle,TEN,TE,24,5,1,0,0,0,0,0,0,0,,0,3,3,33,11.00,1,0,0,1,,,9,12.3,12.3,10.8,,41,,WhylJo01
257,John Bates,WAS,TE,26,5,2,0,0,0,0,0,0,0,,0,10,8,83,10.38,0,0,0,0,,,8,16.3,16.3,12.3,,44,,BateJo00
258,Odell Beckham Jr.,BAL,WR,31,3,2,0,0,0,0,0,0,0,,0,11,7,79,11.29,0,0,0,0,,,8,14.9,14.9,11.4,,110,,BeckOd00
259,Michael Carter,NYJ,RB,24,5,0,0,0,0,0,0,5,31,6.20,0,11,9,44,4.89,0,0,0,0,,,8,16.5,16.5,12.0,,71,,CartMi03
260,Brandin Cooks,DAL,WR,30,4,4,0,0,0,0,0,1,6,6.00,0,19,9,73,8.11,0,1,0,0,,,8,16.9,16.9,12.4,,111,,CookBr00
261,Trenton Irwin,CIN,WR,28,4,1,0,0,0,0,0,0,0,,0,11,9,77,8.56,0,2,0,0,,,8,16.7,16.7,12.2,,113,,IrwiTr00
262,Trey McBride,ARI,TE,24,5,2,0,0,0,0,0,0,0,,0,10,8,79,9.88,0,0,0,0,,,8,15.9,15.9,11.9,,47,,McBrTr01
263,Donovan Peoples-Jones,CLE,WR,24,4,3,0,0,0,0,0,0,0,,0,14,6,75,12.50,0,1,0,0,,,8,13.5,13.5,10.5,,114,,PeopDo00
264,Laviska Shenault Jr.,CAR,WR,25,5,0,0,0,0,0,0,11,53,4.82,0,4,4,28,7.00,0,0,0,0,,,8,12.1,12.1,10.1,,109,,ShenLa00
265,Samori Toure,GNB,WR,25,5,0,0,0,0,0,0,0,0,,0,9,4,59,14.75,0,0,0,0,1,,8,11.9,11.9,9.9,,112,,TourSa00
266,Tommy Tremble,CAR,TE,23,5,1,0,0,0,0,0,0,0,,0,2,2,16,8.00,1,0,0,1,,,8,9.6,9.6,8.6,,48,,TremTo00
267,Cole Turner,WAS,TE,23,5,1,0,0,0,0,0,0,0,,0,12,8,82,10.25,0,0,0,0,,,8,16.2,16.2,12.2,,45,,TurnCo00
268,C.J. Uzomah,NYJ,TE,30,5,3,0,0,0,0,0,0,0,,0,4,4,22,5.50,1,0,0,1,,,8,12.2,12.2,10.2,,46,,UzomC.00
269,Jamaal Williams,NOR,RB,28,2,2,0,0,0,0,0,27,74,2.74,0,2,2,7,3.50,0,1,0,0,,,8,10.1,10.1,9.1,,70,,WillJa06
270,Rashod Bateman,BAL,WR,24,4,2,0,0,0,0,0,0,0,,0,12,8,67,8.38,0,0,0,0,,,7,14.7,14.7,10.7,,119,,BateRa00
271,Blake Bell,KAN,TE,32,5,0,0,0,0,0,0,0,0,,0,3,2,12,6.00,1,0,0,1,,,7,9.2,9.2,8.2,,50,,BellBl00
272,Jake Bobo,SEA,WR,25,4,0,0,0,0,0,0,0,0,,0,4,2,8,4.00,1,0,0,1,,,7,8.8,8.8,7.8,,117,,BoboJa00
273,Gary Brightwell,NYG,RB,24,5,0,0,0,0,0,0,9,19,2.11,0,7,5,47,9.40,0,0,0,0,,,7,11.6,11.6,9.1,,73,,BrigGa00
274,Chris Brooks,MIA,RB,23,5,0,0,0,0,0,0,9,66,7.33,0,0,0,0,,0,0,0,0,,,7,6.6,6.6,6.6,,74,,BrooCh00
275,Harrison Bryant,CLE,TE,25,4,2,0,0,0,0,0,3,6,2.00,0,5,3,7,2.33,1,0,0,1,,,7,10.3,10.3,8.8,,49,,BryaHa00
276,Ty Chandler,MIN,RB,25,5,0,0,0,0,0,0,8,42,5.25,0,5,4,31,7.75,0,0,0,0,,,7,11.3,11.3,9.3,,72,,ChanTy01
277,Jimmy Graham,NOR,TE,37,5,1,0,0,0,0,0,0,0,,0,2,1,8,8.00,1,0,0,1,,,7,7.8,7.8,7.3,,51,,GrahJi00
278,Charlie Jones,CIN,WR,25,3,0,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,0,0,1,,,7,7.6,7.6,7.1,,120,,JoneCh11
279,John Metchie,HOU,WR,23,4,0,0,0,0,0,0,0,0,,0,7,6,72,12.00,0,0,0,0,,,7,13.2,13.2,10.2,,115,,MetcJo00
280,Jalen Tolbert,DAL,WR,24,5,2,0,0,0,0,0,0,0,,0,9,7,71,10.14,0,0,0,0,,,7,14.1,14.1,10.6,,116,,TolbJa00
281,Mike White,MIA,QB,28,1,0,2,2,67,1,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,7,6.6,6.6,6.6,,36,,WhitMi01
282,Cedrick Wilson Jr.,MIA,WR,28,3,0,0,0,0,0,0,0,0,,0,6,5,68,13.60,0,0,0,0,,,7,11.8,11.8,9.3,,118,,WilsCe01
283,Nick Bawden,NYJ,RB,27,5,1,0,0,0,0,0,1,1,1.00,1,0,0,0,,0,0,0,1,,,6,6.1,6.1,6.1,,77,,BawdNi00
284,Andrew Beck,HOU,RB,27,5,5,0,0,0,0,0,2,2,1.00,0,1,0,0,,0,0,0,1,,,6,6.2,6.2,6.2,,75,,BeckAn01
285,Josiah Deguara,GNB,TE,26,5,3,0,0,0,0,0,0,0,,0,7,7,58,8.29,0,0,0,0,,,6,12.8,12.8,9.3,,56,,DeguJo00
286,Xavier Gipson,NYJ,WR,22,5,0,0,0,0,0,0,2,13,6.50,0,1,1,4,4.00,0,3,1,1,,,6,6.7,7.7,6.2,,123,,GipsXa00
287,Austin Hooper,LVR,TE,29,5,2,0,0,0,0,0,0,0,,0,7,6,62,10.33,0,0,0,0,,,6,12.2,12.2,9.2,,52,,HoopAu00
288,Alec Ingold,MIA,RB,27,5,5,0,0,0,0,0,2,0,0.00,0,3,3,57,19.00,0,0,0,0,,,6,8.7,8.7,7.2,,80,,IngoAl01
289,Juwan Johnson,NOR,TE,27,3,3,0,0,0,0,0,0,0,,0,12,7,61,8.71,0,0,0,0,,,6,13.1,13.1,9.6,,53,,JohnJu02
290,Michael Mayer,LVR,TE,22,5,3,0,0,0,0,0,0,0,,0,5,3,41,13.67,0,0,0,0,1,,6,9.1,9.1,7.6,,54,,MayeMi00
291,Hunter Renfrow,LVR,WR,28,5,1,0,0,0,0,0,0,0,,0,9,6,59,9.83,0,0,0,0,,,6,11.9,11.9,8.9,,122,,RenfHu00
292,Ronnie Rivers,LAR,RB,24,5,0,0,0,0,0,0,10,48,4.80,0,3,3,14,4.67,0,0,0,0,,,6,9.2,9.2,7.7,,76,,RiveRo01
293,Luke Schoonmaker,DAL,TE,25,5,0,0,0,0,0,0,0,0,,0,6,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,55,,SchoLu00
294,Jaxon Smith-Njigba,SEA,WR,21,4,0,0,0,0,0,0,0,0,,0,20,12,62,5.17,0,0,0,0,,,6,18.2,18.2,12.2,,121,,SmitJa06
295,Patrick Taylor,GNB,RB,25,4,0,0,0,0,0,0,11,31,2.82,0,10,5,28,5.60,0,0,0,0,,,6,10.9,10.9,8.4,,78,,TaylPa01
296,Deuce Vaughn,DAL,RB,22,5,0,0,0,0,0,0,20,40,2.00,0,5,5,19,3.80,0,0,0,0,,,6,10.9,10.9,8.4,,79,,VaugDe00
297,Ameer Abdullah,LVR,RB,30,5,0,0,0,0,0,0,1,4,4.00,0,10,6,46,7.67,0,0,0,0,,,5,11.0,11.0,8.0,,83,,AbduAm00
298,Salvon Ahmed,MIA,RB,25,3,0,0,0,0,0,0,6,24,4.00,0,6,3,28,9.33,0,0,0,0,,,5,8.2,8.2,6.7,,82,,AhmeSa01
299,Will Dissly,SEA,TE,27,3,3,0,0,0,0,0,0,0,,0,5,5,52,10.40,0,0,0,0,,,5,10.2,10.2,7.7,,57,,DissWi00
300,KhaDarel Hodge,ATL,WR,28,5,0,0,0,0,0,0,1,0,0.00,0,4,4,45,11.25,0,1,0,0,,,5,8.5,8.5,6.5,,126,,HodgKh00
301,Tanner Hudson,CIN,TE,29,2,0,0,0,0,0,0,0,0,,0,6,4,48,12.00,0,0,0,0,,,5,8.8,8.8,6.8,,59,,HudsTa00
302,Kareem Hunt,CLE,RB,28,2,0,0,0,0,0,0,10,25,2.50,0,3,2,22,11.00,0,0,0,0,,,5,6.7,6.7,5.7,,85,,HuntKa00
303,Diontae Johnson,PIT,WR,27,2,1,0,0,0,0,0,0,0,,0,6,3,48,16.00,0,0,0,0,,,5,7.8,7.8,6.3,,125,,JohnDi01
304,Will Mallory,IND,TE,24,1,0,0,0,0,0,0,0,0,,0,2,2,49,24.50,0,0,0,0,,,5,6.9,6.9,5.9,,58,,MallWi00
305,Elijah Mitchell,SFO,RB,25,2,0,0,0,0,0,0,16,52,3.25,0,4,3,2,0.67,0,0,0,0,,,5,8.4,8.4,6.9,,81,,MitcEl00
306,Boston Scott,PHI,RB,28,4,0,0,0,0,0,0,6,43,7.17,0,1,1,7,7.00,0,0,0,0,,,5,6.0,6.0,5.5,,84,,ScotBo02
307,Tyrod Taylor,NYG,QB,34,4,0,11,15,92,0,0,4,16,4.00,0,0,0,0,,0,0,0,0,,,5,5.3,5.3,5.3,,37,,TaylTy00
